k,test_accuracy,precision,recall,f1_score,run_time,epochs_used
2500,0.653125,0.6418317974242723,0.653125,0.6216308155835794,17.37225866317749,6
2450,0.640625,0.7396890309967967,0.640625,0.593058888907484,18.397488832473755,10
2400,0.696875,0.7987708771008404,0.696875,0.6000635580718965,18.29946732521057,10
2350,0.753125,0.8222105950262272,0.753125,0.7000090473272125,18.493782997131348,10
2300,0.821875,0.8294774184719838,0.821875,0.82336256249363,18.19872736930847,10
2250,0.4875,0.4142544526799049,0.4875,0.43922170209176786,18.19833016395569,8
2200,0.878125,0.8939997231190698,0.878125,0.8725850741472627,18.79944372177124,10
2150,0.69375,0.6998540891241551,0.69375,0.6340471701805658,18.68636655807495,10
2100,0.640625,0.4611253938851984,0.640625,0.5251639910080522,18.20706534385681,10
2050,0.7,0.7027659621395442,0.7,0.6543384989930756,17.998069763183594,6
2000,0.696875,0.7118706219806763,0.696875,0.6335245466860855,18.484895944595337,10
1950,0.340625,0.4468848270440251,0.340625,0.1806382892606584,17.000746965408325,4
1900,0.734375,0.7500341694769797,0.734375,0.7022953305956886,17.498597383499146,7
1850,0.8375,0.8697540032818424,0.8375,0.8200615188246736,18.19808530807495,10
1800,0.66875,0.45295932900775443,0.66875,0.5384490593954767,17.61027431488037,8
1750,0.646875,0.6488528812543622,0.646875,0.6319096982787219,17.294684410095215,6
1700,0.571875,0.3987225030912209,0.571875,0.46748477295932833,17.902885675430298,10
1650,0.63125,0.789982115552643,0.63125,0.5229511766457781,17.999116897583008,10
1600,0.809375,0.8368102010813796,0.809375,0.8142518770993874,17.8860604763031,10
1550,0.659375,0.661839390662529,0.659375,0.619768635197714,17.4055757522583,7
1500,0.7,0.7029919888540578,0.7,0.6516438546327905,17.9987530708313,9
1450,0.58125,0.43232007575757575,0.58125,0.48355396517529015,17.79859209060669,10
1400,0.609375,0.4520894953714157,0.609375,0.5024624741200828,17.99205994606018,10
1350,0.334375,0.11180664062499998,0.334375,0.16757903981264638,16.795827865600586,4
1300,0.8625,0.8606464854650003,0.8625,0.8606089929520475,17.892121076583862,10
1250,0.675,0.6611457613950276,0.675,0.6175715202294686,17.80957269668579,10
1200,0.671875,0.6612528706452332,0.671875,0.639971913322823,17.501807928085327,8
1150,0.834375,0.8313890907775179,0.834375,0.8304911809788171,18.09806180000305,10
1100,0.334375,0.11180664062499998,0.334375,0.16757903981264638,16.995492458343506,4
1050,0.60625,0.44932204533189424,0.60625,0.4985522635259477,18.299237966537476,10
1000,0.55625,0.42347628845116025,0.55625,0.46445171746706837,18.29414963722229,10
950,0.7375,0.7365452799364183,0.7375,0.723431810203256,18.100977897644043,10
900,0.334375,0.11180664062499998,0.334375,0.16757903981264638,16.898026943206787,4
850,0.334375,0.11180664062499998,0.334375,0.16757903981264638,16.80591630935669,4
800,0.66875,0.6641445315066693,0.66875,0.6398487126821778,18.10370445251465,10
750,0.584375,0.44288475569572583,0.584375,0.4810527878624894,18.092503309249878,10
700,0.334375,0.11250982704402515,0.334375,0.1683676470588235,17.10242009162903,4
650,0.53125,0.4293142150928168,0.53125,0.4450617709194452,18.190351247787476,10
600,0.565625,0.44335028160200257,0.565625,0.46697619700292403,18.00277876853943,10
550,0.5625,0.4480035611805698,0.5625,0.46570968484011965,17.999457597732544,10
500,0.334375,0.11180664062499998,0.334375,0.16757903981264638,17.277312517166138,4
450,0.55625,0.45221047891502436,0.55625,0.46168764036242554,17.895888090133667,10
400,0.540625,0.44716235233764073,0.540625,0.44734463276836156,17.798797607421875,10
350,0.521875,0.4448360325697924,0.521875,0.43015317518774115,17.69776201248169,10
300,0.334375,0.11180664062499998,0.334375,0.16757903981264638,16.80113196372986,4
250,0.334375,0.11180664062499998,0.334375,0.16757903981264638,16.897608757019043,4
200,0.33125,0.11007053291536051,0.33125,0.16523529411764706,16.697633028030396,4
150,0.334375,0.11180664062499998,0.334375,0.16757903981264638,16.800613164901733,4
100,0.33125,0.10972656249999999,0.33125,0.1648474178403756,16.996994972229004,4
50,0.33125,0.10972656249999999,0.33125,0.1648474178403756,16.693220853805542,4
